柔性直流输电,885948,1266.0133,1251.1310,1.1895
超级品牌,885761,1625.5950,1606.5179,1.1875
太赫兹,886043,1628.1688,1609.1160,1.1841
中芯国际概念,885897,1956.7756,1934.0580,1.1746
参股券商,885620,1614.1600,1595.4430,1.1732
AI语料,886074,1371.4795,1355.7390,1.1610
流感,885879,1580.8872,1562.7910,1.1579
饮料制造,881133,5449.5186,5387.8740,1.1441
航空发动机,885884,2895.2617,2862.6169,1.1404
啤酒概念,885780,1603.2245,1585.7310,1.1032
光刻胶,885864,3654.8062,3615.1750,1.0962
抽水蓄能,885935,1351.4873,1337.1710,1.0706
养殖业,881102,3186.0818,3152.4180,1.0679
ERP概念,886039,1461.9081,1446.4720,1.0672
自由贸易港,885764,1087.4199,1075.9611,1.0650
云计算,885362,4389.2583,4343.0610,1.0637
电机,881277,3857.2126,3816.7319,1.0606
网络安全,885459,5951.6045,5889.2378,1.0590
物业管理,885915,1290.4199,1277.0950,1.0434
农业种植,885812,2661.6001,2634.1289,1.0429
知识产权保护,885791,1977.8250,1957.4240,1.0422
公路铁路运输,881149,1439.7866,1425.0880,1.0314
鸿蒙概念,885923,2123.0244,2101.3730,1.0303
中药,881141,3631.7239,3594.8601,1.0255
PEEK材料,886063,2065.2217,2044.6570,1.0058
医药商业,881143,4889.7295,4841.3481,0.9993
雄安新区,885744,1236.8171,1224.7690,0.9837
煤化工概念,885398,2353.8396,2331.1770,0.9722
统一大市场,885988,1477.6643,1463.4410,0.9719
旅游及酒店,881160,3599.2825,3565.1550,0.9572
家庭医生,885981,1315.7325,1303.2610,0.9569
IT服务,881271,14351.6924,14216.0986,0.9538
人造肉,885839,1426.1663,1412.7020,0.9531
租售同权,885758,892.1895,883.7950,0.9498
NFT概念,885933,2004.0588,1985.2750,0.9462
光热发电,886011,1049.9874,1040.1880,0.9421
存储芯片,886042,1533.6079,1519.3831,0.9362
物流,881152,5996.8110,5941.5820,0.9295
中字头股票,885741,1755.8679,1739.7841,0.9245
食品加工制造,881134,5462.7227,5413.0029,0.9185
房地产,881153,1878.7754,1861.7640,0.9137
京津冀一体化,885514,2122.7078,2103.5310,0.9116
数字乡村,885842,2034.6838,2016.3350,0.9100
钒电池,886003,1355.5504,1343.4449,0.9011
青蒿素,885852,1877.9597,1861.2290,0.8989
创新药,886015,1445.2666,1432.4050,0.8979
半导体,881121,11220.1396,11121.1768,0.8899
特钢概念,885428,3315.0808,3285.9189,0.8875
燃气,881146,1648.0278,1633.5850,0.8841
生物制品,881142,7128.0981,7065.7412,0.8825
F5G概念,885998,2928.1533,2902.6589,0.8783
新型烟草(电子烟),885899,1796.3081,1780.7380,0.8744
农村电商,885629,1982.3590,1965.2400,0.8711
汽车热管理,885999,2207.9155,2188.8579,0.8707
特高压,885425,3964.1099,3929.9070,0.8703
共享单车,885747,1315.9135,1304.6400,0.8641
煤炭概念,885914,2108.6875,2090.7581,0.8576
减速器,886008,2153.7954,2135.5259,0.8555
碳纤维,885650,1946.8220,1930.4351,0.8489
