date,code,open,high,low,close,volume,amount
2025-01-02,885903,1143.531,1152.421,1109.241,1119.089,217842020,3362294200.0
2025-01-03,885903,1120.736,1125.728,1078.455,1081.111,188922680,2450989700.0
2025-01-06,885903,1080.858,1097.245,1062.505,1089.308,174629400,2076742800.0
2025-01-07,885903,1090.07,1101.552,1076.611,1101.068,157091360,2138993300.0
2025-01-08,885903,1096.25,1097.551,1063.062,1089.357,229106940,3196986800.0
2025-01-09,885903,1083.489,1096.024,1078.595,1085.952,170866120,2452317300.0
2025-01-10,885903,1086.555,1093.656,1065.025,1065.08,230318090,3400076100.0
2025-01-13,885903,1057.973,1080.167,1048.75,1079.384,202238980,2425124300.0
2025-01-14,885903,1083.293,1114.812,1081.994,1113.949,342512630,3352608500.0
2025-01-15,885903,1111.656,1112.185,1096.599,1100.5,243368630,2370695900.0
2025-01-16,885903,1111.875,1126.072,1100.526,1111.077,298836030,3156895100.0
2025-01-17,885903,1105.894,1126.044,1101.727,1117.23,310698300,3163314300.0
2025-01-20,885903,1124.059,1130.302,1116.197,1125.407,292771100,2904076000.0
2025-01-21,885903,1133.155,1133.155,1108.123,1115.301,251097700,3076773300.0
2025-01-22,885903,1106.822,1109.171,1097.153,1101.986,206504150,3041537200.0
2025-01-23,885903,1111.944,1121.964,1102.808,1104.671,214785050,2758177600.0
2025-01-24,885903,1101.877,1114.504,1098.318,1113.77,202350600,2368118000.0
2025-01-27,885903,1125.056,1137.142,1118.04,1118.427,175428190,2185988800.0
2025-02-05,885903,1135.193,1135.496,1122.988,1128.863,150060330,1893576600.0
2025-02-06,885903,1137.838,1154.672,1133.499,1154.672,200283490,2797687500.0
2025-02-07,885903,1158.937,1174.94,1151.973,1166.605,370776980,6763706300.0
2025-02-10,885903,1175.648,1181.572,1171.949,1181.572,206123610,3891333900.0
2025-02-11,885903,1188.762,1188.762,1173.028,1182.592,267854010,4631506700.0
2025-02-12,885903,1181.658,1193.825,1175.162,1193.302,387752580,7737430000.0
2025-02-13,885903,1192.897,1204.92,1192.897,1193.023,267048990,5660385700.0
2025-02-14,885903,1197.401,1198.818,1183.688,1192.564,372136900,9905287500.0
2025-02-17,885903,1196.233,1204.401,1189.023,1202.269,252016920,5610303000.0
2025-02-18,885903,1201.39,1205.657,1181.864,1187.454,340883750,8608589100.0
2025-02-19,885903,1191.395,1202.474,1189.073,1202.474,308297690,8916056200.0
2025-02-20,885903,1202.149,1211.583,1198.74,1211.583,254817340,6887561500.0
2025-02-21,885903,1214.373,1218.669,1189.183,1201.571,413296530,12660810200.0
2025-02-24,885903,1192.428,1199.457,1191.104,1197.972,203780500,3910908200.0
2025-02-25,885903,1180.863,1198.416,1178.666,1183.794,402631020,9249739900.0
2025-02-26,885903,1185.924,1199.026,1185.924,1198.382,345929780,7065507700.0
2025-02-27,885903,1198.587,1202.145,1182.051,1201.897,321981020,7037102600.0
2025-02-28,885903,1197.35,1202.553,1182.702,1186.075,299216350,6503825300.0
2025-03-03,885903,1188.657,1213.826,1188.657,1205.025,354527500,6919646200.0
2025-03-04,885903,1197.166,1201.034,1192.677,1200.643,249522030,4880215100.0
2025-03-05,885903,1199.309,1200.036,1182.586,1196.491,270956560,5165197000.0
2025-03-06,885903,1201.242,1207.192,1195.324,1204.695,290470030,6030022800.0
2025-03-07,885903,1202.579,1215.762,1199.306,1203.394,320576030,6488359900.0
2025-03-10,885903,1204.624,1221.678,1204.624,1212.501,315061320,6345056200.0
2025-03-11,885903,1201.943,1219.907,1199.512,1219.816,260983470,5213919300.0
2025-03-12,885903,1222.042,1229.052,1218.055,1221.397,334103920,8595880500.0
2025-03-13,885903,1218.849,1220.443,1197.35,1209.569,263223640,5392612800.0
2025-03-14,885903,1208.058,1221.709,1200.064,1221.193,286156320,6556131100.0
2025-03-17,885903,1224.742,1232.368,1224.007,1228.498,216770400,4381980500.0
2025-03-18,885903,1229.187,1232.754,1223.06,1228.445,200584060,5108527100.0
2025-03-19,885903,1225.73,1228.73,1218.205,1221.097,188090100,3770300000.0
2025-03-20,885903,1219.415,1242.593,1217.094,1230.698,374171030,5513227200.0
2025-03-21,885903,1233.851,1268.587,1233.304,1242.915,445400370,6219389900.0
2025-03-24,885903,1246.667,1260.546,1227.715,1257.176,677969840,8535307700.0
2025-03-25,885903,1244.888,1297.527,1239.497,1295.576,738330730,8954510700.0
2025-03-26,885903,1286.234,1309.646,1284.08,1285.484,760869980,7786415600.0
