date,open,high,low,close,volume,amount
2025-01-02,790.268,811.295,783.154,790.79,10751034300,89948136000.0
2025-01-03,791.781,794.211,757.25,758.599,11000151400,87210512000.0
2025-01-06,752.526,760.069,734.215,747.433,8897308100,66062379000.0
2025-01-07,746.949,765.572,746.136,765.572,8584588500,66474219000.0
2025-01-08,761.943,776.121,747.602,772.324,10615330300,80054016000.0
2025-01-09,766.937,780.06,765.221,775.201,10989975100,82222377000.0
2025-01-10,772.242,776.405,744.89,744.89,10449067600,77479690000.0
2025-01-13,733.832,746.357,725.355,742.083,8164826700,59166034000.0
2025-01-14,748.322,783.797,748.322,783.797,10353337600,85261128000.0
2025-01-15,787.526,798.088,784.904,789.966,10049489000,90611864000.0
2025-01-16,793.763,807.605,789.354,799.104,12444060400,103626498000.0
2025-01-17,795.96,801.122,788.986,795.536,9847673300,84701983000.0
2025-01-20,799.387,808.462,792.84,802.796,8930737700,78408053000.0
2025-01-21,805.82,806.763,792.872,802.428,9115981000,81316913000.0
2025-01-22,796.724,796.724,783.695,786.401,8210448700,70346054000.0
2025-01-23,794.075,802.821,783.767,783.767,8956663400,80045581000.0
2025-01-24,781.05,795.526,779.051,794.496,8003874400,73833194000.0
2025-01-27,797.751,802.142,785.67,785.67,7493354000,71049194000.0
2025-02-05,791.814,792.967,785.762,789.796,8260958800,80886044000.0
2025-02-06,788.171,805.82,784.224,805.82,9865731700,93252075000.0
2025-02-07,804.871,824.199,804.095,814.963,11672455200,118020553000.0
2025-02-10,817.496,832.61,815.013,832.61,11538754100,113223891000.0
2025-02-11,834.234,836.152,827.097,833.439,12001197800,116574213000.0
2025-02-12,831.066,839.327,830.26,839.327,10503690300,104266590000.0
2025-02-13,840.286,843.337,830.167,833.46,12526384400,123988093000.0
2025-02-14,830.603,833.793,825.092,832.556,11559551100,115621816000.0
2025-02-17,833.582,843.384,831.408,843.284,11088003400,110784372000.0
2025-02-18,840.659,840.659,810.481,813.18,10376574700,100157506000.0
2025-02-19,812.727,829.191,811.756,829.191,8416884300,87344206000.0
2025-02-20,830.414,843.188,830.368,841.902,9322373400,89865481000.0
2025-02-21,842.946,844.513,830.549,844.513,10876229200,110758642000.0
2025-02-24,844.109,850.184,839.237,845.974,10308451300,107414819000.0
2025-02-25,836.172,846.558,832.763,838.161,8891946400,93523209000.0
2025-02-26,839.744,846.428,839.711,846.246,8129289700,86029290000.0
2025-02-27,846.407,853.988,840.327,853.988,10690619100,99517002000.0
2025-02-28,850.351,850.351,826.816,828.681,10060847800,93065492000.0
2025-03-03,829.713,840.18,824.672,832.052,7573447100,71943619000.0
2025-03-04,825.909,839.572,824.443,839.524,6297228800,59989162000.0
2025-03-05,838.813,842.385,827.095,842.379,7499692300,72161797000.0
2025-03-06,844.834,858.917,843.63,857.196,9605057900,102260954000.0
2025-03-07,855.412,861.423,846.518,851.145,10535131800,101641637000.0
2025-03-10,850.868,853.377,846.132,853.196,7794518100,74874343000.0
2025-03-11,843.017,857.539,841.748,857.539,7083118400,66565803000.0
2025-03-12,860.248,865.166,858.66,859.986,8098695700,81673097000.0
2025-03-13,858.668,859.909,841.941,851.723,7882357300,78769104000.0
2025-03-14,852.111,873.99,851.664,873.99,8889533500,93507296000.0
2025-03-17,878.759,880.729,873.681,878.303,9465157300,100124346000.0
2025-03-18,879.931,880.984,874.717,880.107,7999291700,83725857000.0
2025-03-19,877.212,877.251,868.072,871.653,7375858600,75157670000.0
2025-03-20,870.973,874.431,865.265,865.96,7063156800,71037213000.0
2025-03-21,861.999,862.179,846.328,849.129,7225943400,71038755000.0
2025-03-24,849.181,851.748,821.485,838.071,7505490600,69394973000.0
2025-03-25,836.866,838.405,827.088,833.07,5769433800,55697878000.0
2025-03-26,831.041,843.687,831.041,841.264,5382147500,49618546000.0
2025-03-27,839.148,845.608,831.275,839.932,6094251500,57551651000.0
2025-03-28,837.115,838.192,825.06,825.06,5840444900,54464607000.0
2025-03-31,819.488,819.488,802.699,814.312,5939127500,55628676000.0
2025-04-01,815.336,825.739,815.336,818.176,4743512400,46340613000.0
2025-04-02,816.556,825.841,815.962,822.633,4396614600,40999456000.0
2025-04-03,812.8,822.969,812.269,818.931,6041067700,54033666000.0
2025-04-07,767.106,771.97,713.386,719.525,7780720400,64866038000.0
2025-04-08,710.322,731.964,706.872,721.698,9442450500,74571779000.0
2025-04-09,709.041,747.838,675.123,743.523,11881242400,89769586000.0
2025-04-10,760.421,786.454,760.421,778.909,11239674400,93616388000.0
2025-04-11,775.129,789.37,775.129,781.244,9806942300,84699306000.0
2025-04-14,791.392,811.36,791.392,804.624,10110906900,85959863000.0
2025-04-15,804.772,809.759,796.835,809.741,9662899800,82033148000.0
2025-04-16,808.491,811.153,786.852,800.851,9589692100,82417803000.0
2025-04-17,794.171,811.264,792.664,805.018,8741083300,73184760000.0
2025-04-18,802.054,803.906,790.942,795.717,7923445100,64481626000.0
2025-04-21,792.372,813.406,790.425,813.406,8194094500,69192754000.0
2025-04-22,815.345,823.442,815.345,821.359,9728197100,82987669000.0
2025-04-23,826.052,829.71,820.541,822.127,9763058700,89770914000.0
2025-04-24,820.687,823.14,811.029,814.521,8830726500,80198178000.0
2025-04-25,816.374,823.469,813.259,816.795,8143486400,75692042000.0
2025-04-28,817.227,818.318,803.335,804.683,8176899700,72314230000.0
2025-04-29,799.872,813.174,797.44,810.94,8408020200,73543682000.0
2025-04-30,812.184,821.423,812.184,817.526,8699471700,79074778000.0
2025-05-06,822.253,842.237,822.253,842.237,9274538900,87291054000.0
2025-05-07,853.349,856.038,840.697,849.108,10204899300,96437152000.0
2025-05-08,845.713,858.582,844.791,857.525,9596071400,87954489000.0
2025-05-09,856.552,856.552,847.29,849.703,9166490200,80573411000.0
2025-05-12,858.997,863.893,854.135,863.893,8357965100,76274523000.0
2025-05-13,876.187,877.818,867.239,868.479,9186700100,86957103000.0
2025-05-14,865.872,880.847,862.573,880.847,9876177400,95330512000.0
2025-05-15,880.119,884.403,875.126,877.773,9955543800,94790781000.0
2025-05-16,873.088,884.477,869.298,879.674,9112502400,84627323000.0
2025-05-19,880.782,888.757,873.295,888.491,8638435000,83432218000.0
2025-05-20,888.404,906.029,885.658,903.472,9682634400,99056900000.0
2025-05-21,901.312,901.796,893.391,895.0,8904505700,90655569000.0
2025-05-22,890.674,901.408,883.931,885.395,8691845400,85588084000.0
2025-05-23,882.55,888.575,870.007,870.067,7789285900,75611413000.0
2025-05-26,869.595,881.359,868.13,881.359,6789569700,67038086000.0
2025-05-27,881.07,891.704,877.415,890.531,7419035500,73501224000.0
2025-05-28,891.296,893.925,885.96,890.161,8947864700,84309367000.0
2025-05-29,889.139,902.338,887.472,902.147,9265413900,91403217000.0
2025-05-30,899.779,900.988,886.59,887.562,7763776100,80374096000.0
2025-06-03,883.507,900.478,883.507,899.814,7549906200,82270079000.0
2025-06-04,900.076,910.535,899.072,910.535,8161920600,85787334000.0
2025-06-05,909.441,910.667,904.806,908.27,8661047100,92204870000.0
2025-06-06,907.203,907.203,900.015,903.408,6713262500,71126624000.0
2025-06-09,904.988,919.232,904.988,919.19,7584372700,78497965000.0
2025-06-10,919.589,922.587,904.475,917.113,9205688500,94129718000.0
2025-06-11,916.215,925.675,915.708,923.93,7996756100,86055365000.0
2025-06-12,921.85,927.478,920.532,927.361,7536620200,83529114000.0
2025-06-13,922.543,922.577,900.594,901.698,8642541000,93797117000.0
2025-06-16,898.046,910.404,898.046,910.253,6638467300,77033543000.0
2025-06-17,912.118,914.504,904.611,908.422,7012670800,81434344000.0
2025-06-18,904.877,904.93,894.493,900.395,6415542300,75212052000.0
2025-06-19,898.4,899.011,876.715,878.698,6345791200,70511610000.0
2025-06-20,877.659,882.533,869.717,871.182,5456097000,60726804000.0
2025-06-23,866.617,886.6,866.255,886.073,5600555000,64006721000.0
2025-06-24,887.507,902.891,887.507,902.891,6787818800,78330902000.0
2025-06-25,904.893,912.112,900.138,911.835,7673253800,93014983000.0
2025-06-26,911.447,917.745,907.226,910.493,7567546400,91546982000.0
2025-06-27,911.768,916.792,909.393,915.003,7687500600,85646970000.0
2025-06-30,916.387,926.126,915.198,926.126,7385615400,82905141000.0
2025-07-01,926.606,928.278,918.38,927.43,6831290900,78355970000.0
2025-07-02,927.19,927.19,918.907,923.215,6567684000,69469794000.0
2025-07-03,923.704,929.032,922.998,929.032,5883607000,65788346000.0
2025-07-04,929.572,929.572,918.758,919.854,6615223400,73661365000.0
2025-07-07,919.168,929.618,919.168,929.618,6503370100,71860249000.0
2025-07-08,930.17,936.831,929.399,936.828,7534493300,82077201000.0
2025-07-09,936.915,941.597,934.945,937.521,7754866100,84291701000.0
2025-07-10,935.415,940.482,932.322,938.738,8341138800,86377244000.0
2025-07-11,938.429,942.502,931.481,940.025,8469176600,88017309000.0
2025-07-14,940.859,943.042,937.426,942.28,6466051500,67009918000.0
2025-07-15,939.84,939.84,925.378,934.537,8404520200,82611145000.0
2025-07-16,934.267,943.287,934.267,942.183,7605357200,75696483000.0
2025-07-17,942.396,948.653,940.813,948.653,8055050900,86094906000.0
2025-07-18,949.137,950.08,943.119,947.487,7026026700,79021703000.0
2025-07-21,946.191,953.933,944.941,953.933,8128920900,81363161000.0
2025-07-22,953.388,953.494,945.916,951.653,7639430200,80757221000.0
2025-07-23,950.907,954.914,946.126,947.726,7913863600,83066434000.0
2025-07-24,948.402,960.237,948.402,960.237,8163351700,83226860000.0
2025-07-25,961.729,968.318,959.864,967.425,8828781600,95800239000.0
2025-07-28,967.929,970.067,964.638,969.055,7612841500,83547535000.0
2025-07-29,971.918,971.972,959.735,966.937,7912037700,86493871000.0
2025-07-30,965.151,970.04,959.002,968.363,8048905100,86848258000.0
2025-07-31,966.16,968.671,956.0,958.469,9611096000,98449556000.0
2025-08-01,959.29,964.448,956.864,962.604,8056658500,87606005000.0
2025-08-04,956.456,968.713,953.093,968.713,6823076100,74674181000.0
2025-08-05,969.153,976.538,969.153,976.363,6216814500,71620469000.0
2025-08-06,976.537,981.945,972.215,981.849,6561998100,76708931000.0
2025-08-07,982.139,985.835,981.025,983.915,7565799800,86648163000.0
2025-08-08,982.418,982.418,974.294,979.883,6754742400,78387865000.0
2025-08-11,980.63,992.575,980.63,992.144,7663661200,83740232000.0
2025-08-12,993.708,995.03,987.871,994.332,7432263500,86655532000.0
2025-08-13,997.178,998.244,989.944,997.013,8454617800,96845756000.0
2025-08-14,997.014,997.026,981.093,982.291,8858759800,103165476000.0
2025-08-15,980.869,993.931,980.869,993.803,7684748300,97740628000.0
2025-08-18,998.077,1012.216,998.077,1009.721,10983217900,133709449000.0
2025-08-19,1010.594,1022.064,1008.162,1020.738,11433497600,135468740000.0
2025-08-20,1017.104,1029.832,1013.947,1029.832,12346003000,132087704000.0
2025-08-21,1031.613,1036.799,1025.693,1030.866,11282623400,128963106000.0
2025-08-22,1029.121,1032.431,1022.858,1032.431,10307959300,121477682000.0
2025-08-25,1036.589,1039.6,1031.032,1039.576,12115326800,147296940000.0
2025-08-26,1037.197,1051.217,1033.239,1046.876,12426694700,141994740000.0
2025-08-27,1047.118,1048.42,1020.381,1020.381,13912032000,161820790000.0
2025-08-28,1019.354,1029.989,991.49,1023.86,11805171700,140156070000.0
2025-08-29,1023.788,1026.013,1016.987,1018.77,9601295300,125052030000.0
2025-09-01,1019.159,1029.459,1016.728,1025.387,10472718500,122663097000.0
2025-09-02,1024.745,1024.813,1000.445,1012.38,11412963700,128371231000.0
2025-09-03,1014.294,1016.543,989.727,992.725,9648051200,100983765000.0
2025-09-04,994.478,1008.058,984.707,998.283,11373599200,110907234000.0
2025-09-05,1001.184,1015.168,986.343,1015.168,9788428600,99447870000.0
2025-09-08,1013.352,1026.07,1013.352,1025.511,8927509000,100465061000.0
2025-09-09,1024.298,1024.298,1011.646,1017.05,8795334600,91393107000.0
2025-09-10,1015.596,1024.309,1015.344,1021.501,9032074600,89755999000.0
2025-09-11,1018.929,1029.938,1008.918,1029.938,9534324600,103524432000.0
2025-09-12,1030.351,1033.401,1023.369,1024.619,9438747100,102178159000.0
2025-09-15,1023.366,1027.957,1019.67,1026.341,8242392800,89817103000.0
2025-09-16,1028.316,1046.279,1026.479,1046.279,12548569900,127077812000.0
2025-09-17,1045.439,1049.365,1042.466,1044.839,12103529100,122031800000.0
2025-09-18,1044.324,1049.146,1020.25,1029.509,13553424000,147406700000.0
