date,code,open,high,low,close,volume,amount
2025-01-02,885539,2274.872,2298.626,2214.472,2232.332,6319745400,62256670000.0
2025-01-03,885539,2237.888,2244.944,2160.958,2164.77,6229898500,57829551000.0
2025-01-06,885539,2166.459,2205.673,2134.985,2180.878,6038503000,54255151000.0
2025-01-07,885539,2179.581,2202.931,2153.388,2202.782,6543514900,55302411000.0
2025-01-08,885539,2200.007,2216.534,2145.87,2203.853,7371627600,63019254000.0
2025-01-09,885539,2189.991,2224.515,2184.159,2208.429,6577301800,58846854000.0
2025-01-10,885539,2205.38,2220.643,2146.003,2146.003,6932536100,59602353000.0
2025-01-13,885539,2126.557,2167.264,2107.712,2158.809,5519128300,48639243000.0
2025-01-14,885539,2165.026,2252.242,2165.026,2252.242,6692698600,67140637000.0
2025-01-15,885539,2252.653,2254.55,2231.667,2237.246,5151305800,54497632000.0
2025-01-16,885539,2245.557,2276.545,2226.14,2245.219,7463706500,64784304000.0
2025-01-17,885539,2239.051,2262.758,2226.651,2250.119,5782203500,53662584000.0
2025-01-20,885539,2263.243,2282.985,2253.034,2275.677,5699853300,57546079000.0
2025-01-21,885539,2284.321,2286.089,2248.493,2269.018,5743173300,57077412000.0
2025-01-22,885539,2260.477,2260.477,2233.64,2242.259,5353756600,51437954000.0
2025-01-23,885539,2260.742,2282.8,2236.203,2236.203,6263212800,63265573000.0
2025-01-24,885539,2230.331,2255.26,2219.799,2252.176,5588358300,57501302000.0
2025-01-27,885539,2258.426,2274.056,2234.377,2234.377,5033323200,51425993000.0
2025-02-05,885539,2255.532,2272.606,2248.046,2265.553,6480592800,62608514000.0
2025-02-06,885539,2261.797,2310.891,2250.091,2310.888,8013119100,79243620000.0
2025-02-07,885539,2312.424,2368.838,2311.567,2348.819,9615182300,103812027000.0
2025-02-10,885539,2355.516,2406.423,2348.186,2406.376,9634640200,104380095000.0
2025-02-11,885539,2408.776,2408.776,2379.213,2393.215,9174713000,97028025000.0
2025-02-12,885539,2387.238,2405.939,2381.519,2405.302,7870277900,87231044000.0
2025-02-13,885539,2404.157,2404.157,2375.128,2376.209,8254665800,91266539000.0
2025-02-14,885539,2374.639,2432.248,2374.639,2421.761,9435387800,109450015000.0
2025-02-17,885539,2443.245,2483.673,2439.557,2464.479,9876523600,124397261000.0
2025-02-18,885539,2457.609,2457.609,2378.418,2385.659,8780881700,98871125000.0
2025-02-19,885539,2383.616,2433.781,2380.312,2433.781,7503006700,92958411000.0
2025-02-20,885539,2435.797,2482.187,2435.797,2475.306,7930486800,105254291000.0
2025-02-21,885539,2472.926,2482.692,2442.694,2482.109,9183496400,115560022000.0
2025-02-24,885539,2480.212,2491.897,2457.468,2478.795,8938506200,109400800000.0
2025-02-25,885539,2454.015,2484.569,2447.035,2464.507,8385644500,106491415000.0
2025-02-26,885539,2468.055,2494.529,2466.354,2492.36,7956019200,104214545000.0
2025-02-27,885539,2493.118,2501.098,2451.87,2492.214,8092384600,103453861000.0
2025-02-28,885539,2484.5,2487.797,2412.703,2418.184,7870441100,98259784000.0
2025-03-03,885539,2422.837,2471.679,2415.622,2441.491,6975974000,89731551000.0
2025-03-04,885539,2427.163,2481.546,2424.91,2481.313,6426522900,82406972000.0
2025-03-05,885539,2477.466,2477.896,2446.841,2475.488,6629853100,80677055000.0
2025-03-06,885539,2483.534,2523.204,2481.837,2518.881,7871892700,99980443000.0
2025-03-07,885539,2513.234,2529.226,2489.438,2501.934,8638128400,97930586000.0
2025-03-10,885539,2532.554,2547.991,2513.917,2534.951,7927388200,95907673000.0
2025-03-11,885539,2503.804,2535.312,2501.949,2535.312,7267729600,93673542000.0
2025-03-12,885539,2541.912,2552.589,2529.486,2537.61,7250280600,92439182000.0
2025-03-13,885539,2535.468,2542.431,2485.986,2512.439,7461184100,92298952000.0
2025-03-14,885539,2511.559,2566.258,2501.762,2566.258,7245773300,92744342000.0
2025-03-17,885539,2574.6,2580.408,2560.489,2570.273,7189416700,88773918000.0
2025-03-18,885539,2573.788,2581.858,2563.342,2579.713,6675783400,80695330000.0
2025-03-19,885539,2572.063,2588.867,2565.044,2573.457,6396772200,81576953000.0
2025-03-20,885539,2568.642,2583.725,2559.651,2564.361,6676141700,82327449000.0
2025-03-21,885539,2560.719,2565.414,2505.6,2512.92,7947515900,85048993000.0
2025-03-24,885539,2506.412,2508.595,2421.78,2465.292,6921372000,71053754000.0
2025-03-25,885539,2460.421,2481.372,2444.47,2467.168,5488089500,61030522000.0
2025-03-26,885539,2457.021,2495.432,2457.021,2483.734,4964409400,54513877000.0
2025-03-27,885539,2474.829,2497.074,2443.714,2488.835,5656714300,65414675000.0
2025-03-28,885539,2482.924,2506.906,2464.524,2464.524,5540742200,65275037000.0
2025-03-31,885539,2445.403,2445.403,2394.324,2427.698,5606349200,65220774000.0
2025-04-01,885539,2434.756,2507.824,2434.756,2482.619,5992756900,73876056000.0
2025-04-02,885539,2478.588,2504.684,2472.226,2491.751,4666686400,58480217000.0
2025-04-03,885539,2468.752,2510.497,2454.33,2471.739,4950400900,60790717000.0
2025-04-07,885539,2329.794,2346.453,2136.15,2162.71,7499346100,83966091000.0
2025-04-08,885539,2153.67,2222.381,2127.593,2172.996,7904350200,83574022000.0
2025-04-09,885539,2133.032,2229.315,2031.117,2216.529,8150757800,85539101000.0
2025-04-10,885539,2258.071,2314.34,2258.071,2282.782,7098758600,80470313000.0
2025-04-11,885539,2267.585,2324.832,2265.822,2302.925,5856812600,68826426000.0
2025-04-14,885539,2333.526,2364.002,2333.2,2346.115,6186860000,67097677000.0
2025-04-15,885539,2345.934,2355.638,2324.451,2346.543,4991550600,55962866000.0
2025-04-16,885539,2338.089,2338.089,2272.24,2303.459,5597479000,62452706000.0
2025-04-17,885539,2290.928,2330.251,2290.001,2312.44,4435654900,51603313000.0
2025-04-18,885539,2311.528,2329.555,2291.865,2312.489,4574718600,51294020000.0
2025-04-21,885539,2308.415,2360.224,2296.319,2360.224,5134108800,58813088000.0
2025-04-22,885539,2357.924,2377.779,2352.144,2367.232,6256443900,65650189000.0
2025-04-23,885539,2374.834,2388.096,2369.39,2379.518,5630221300,65496625000.0
2025-04-24,885539,2376.8,2387.872,2348.511,2361.644,5247094700,62470470000.0
2025-04-25,885539,2369.381,2376.319,2348.339,2357.84,5697638800,67203420000.0
2025-04-28,885539,2347.589,2347.589,2314.44,2321.644,4949678600,56761633000.0
2025-04-29,885539,2314.994,2354.914,2312.525,2350.48,5175722900,62985189000.0
2025-04-30,885539,2356.451,2392.463,2356.451,2383.654,5967562900,69945966000.0
2025-05-06,885539,2399.801,2445.883,2399.801,2445.883,6722496500,79996877000.0
2025-05-07,885539,2471.572,2481.28,2443.16,2463.135,7113931500,83778443000.0
2025-05-08,885539,2454.542,2488.55,2452.206,2487.296,6243220700,73444058000.0
2025-05-09,885539,2487.415,2487.415,2458.515,2466.794,5839633000,72160447000.0
2025-05-12,885539,2483.033,2498.751,2470.481,2498.751,6131859400,78115779000.0
2025-05-13,885539,2517.458,2518.835,2493.619,2501.569,6214958000,79327982000.0
2025-05-14,885539,2499.566,2507.354,2479.777,2495.349,5876054500,69795490000.0
2025-05-15,885539,2493.959,2499.729,2474.019,2482.951,5755807100,66190808000.0
2025-05-16,885539,2481.648,2510.374,2476.77,2506.559,5655369900,68821659000.0
2025-05-19,885539,2513.568,2521.882,2490.019,2521.882,5831496300,67399104000.0
2025-05-20,885539,2525.176,2561.049,2525.176,2558.791,6445757200,76100406000.0
2025-05-21,885539,2555.605,2560.242,2541.432,2547.938,6709237600,77426362000.0
2025-05-22,885539,2537.033,2553.843,2505.763,2508.545,5918146600,70070577000.0
2025-05-23,885539,2506.977,2549.47,2503.561,2504.367,6114189600,75444946000.0
2025-05-26,885539,2505.032,2512.416,2486.713,2511.884,5026829300,62109992000.0
2025-05-27,885539,2509.536,2527.271,2494.006,2524.022,5054478500,61143524000.0
2025-05-28,885539,2522.725,2529.326,2505.722,2512.673,5318045500,60574800000.0
2025-05-29,885539,2509.878,2562.421,2509.878,2562.421,5788857100,70948820000.0
2025-05-30,885539,2556.163,2567.028,2542.403,2547.147,5833549300,72444977000.0
2025-06-03,885539,2532.784,2586.178,2532.784,2584.619,5619374300,72581750000.0
2025-06-04,885539,2587.96,2606.613,2584.559,2606.613,6537524800,79073616000.0
2025-06-05,885539,2607.607,2608.412,2587.358,2604.869,6441688800,79205488000.0
2025-06-06,885539,2601.644,2607.195,2589.44,2600.469,5149839900,65025533000.0
2025-06-09,885539,2604.809,2648.857,2604.809,2647.514,6574780600,81381696000.0
2025-06-10,885539,2649.912,2658.153,2603.55,2633.822,7343874400,88696775000.0
2025-06-11,885539,2637.671,2655.662,2634.338,2642.413,6171742800,76591863000.0
2025-06-12,885539,2638.227,2651.411,2634.173,2651.411,5975176500,77764732000.0
2025-06-13,885539,2640.441,2647.042,2590.548,2593.088,6823309300,89634392000.0
2025-06-16,885539,2587.56,2611.997,2587.56,2601.327,5077109700,67450908000.0
2025-06-17,885539,2619.318,2640.304,2591.473,2601.485,5874724000,75738138000.0
2025-06-18,885539,2589.707,2595.755,2563.436,2576.531,5392068900,65933132000.0
2025-06-19,885539,2570.233,2581.525,2519.527,2524.854,5408401300,67062969000.0
2025-06-20,885539,2522.915,2539.251,2508.099,2508.294,4395386600,55700272000.0
2025-06-23,885539,2498.45,2553.511,2498.174,2551.391,4841567700,60107976000.0
2025-06-24,885539,2556.397,2597.181,2556.397,2597.181,5769254900,72280662000.0
2025-06-25,885539,2602.721,2612.221,2582.641,2612.194,5994514800,76162899000.0
