date,open,high,low,close,volume,amount
2025-01-02,5309.188,5378.259,5157.252,5215.349,8557057800,118310989000.0
2025-01-03,5224.916,5234.954,4949.569,4958.317,8172689700,100723628000.0
2025-01-06,4925.154,4965.499,4827.428,4871.64,6389901400,74265884000.0
2025-01-07,4889.758,5017.261,4881.28,5017.171,5922430400,76087894000.0
2025-01-08,4988.541,5055.002,4847.375,5005.704,7087860800,91305352000.0
2025-01-09,4976.589,5069.765,4971.973,5027.701,5947407100,70623487000.0
2025-01-10,5014.907,5065.303,4842.436,4842.436,5841002300,70536162000.0
2025-01-13,4774.647,4902.017,4708.406,4882.095,4866373000,62395095000.0
2025-01-14,4918.078,5192.517,4917.22,5192.517,7843665100,118126520000.0
2025-01-15,5186.054,5214.002,5134.25,5162.23,6978587100,96788915000.0
2025-01-16,5204.2,5318.206,5158.915,5216.4,7484602800,102749737000.0
2025-01-17,5186.277,5245.821,5161.853,5192.883,6085980600,85795149000.0
2025-01-20,5259.345,5286.462,5187.636,5238.223,5944897400,82130184000.0
2025-01-21,5270.929,5280.826,5166.406,5236.552,5922330100,82425293000.0
2025-01-22,5196.466,5212.479,5160.08,5186.221,5834067100,79774081000.0
2025-01-23,5276.084,5390.761,5188.615,5188.615,8551681600,127635802000.0
2025-01-24,5160.391,5330.463,5160.391,5321.866,7499749900,102654109000.0
2025-01-27,5361.483,5376.616,5222.225,5222.225,6791569300,93656687000.0
2025-02-05,5317.018,5402.854,5317.018,5361.762,6524642700,99323446000.0
2025-02-06,5355.166,5499.816,5323.804,5499.816,8577243100,126646558000.0
2025-02-07,5491.75,5738.411,5489.255,5657.962,11331355700,182459600000.0
2025-02-10,5704.329,5856.586,5701.899,5856.586,10393688600,163736780000.0
2025-02-11,5840.469,5902.105,5770.52,5827.521,9951368700,155746720000.0
2025-02-12,5816.838,5956.153,5816.838,5956.034,9811692100,157398600000.0
2025-02-13,5949.213,6013.787,5850.506,5915.69,11164394100,171293240000.0
2025-02-14,5892.17,6009.369,5843.468,5996.151,10353433800,162364540000.0
2025-02-17,6074.89,6130.217,5997.345,6055.848,10523822500,171822880000.0
2025-02-18,6019.713,6024.435,5786.252,5797.516,9278273200,143290810000.0
2025-02-19,5800.892,5923.078,5787.729,5923.078,8310586900,128094266000.0
2025-02-20,5918.977,5970.378,5900.823,5955.761,8322361100,123805977000.0
2025-02-21,5991.497,6094.15,5888.652,6076.001,11051354700,181686750000.0
2025-02-24,6056.881,6111.643,5990.85,6058.447,9739437300,162665090000.0
2025-02-25,5944.665,6085.086,5930.407,6000.413,8621453000,140954080000.0
2025-02-26,6016.695,6106.511,5974.988,6106.511,9044348700,148864110000.0
2025-02-27,6091.566,6141.724,5962.482,6082.011,9793662500,154780900000.0
2025-02-28,6031.643,6040.167,5779.646,5793.699,8697308900,130472539000.0
2025-03-03,5803.221,5886.037,5728.31,5791.659,7046939500,103553319000.0
2025-03-04,5733.151,5865.065,5731.17,5863.128,5686027100,81746712000.0
