date,open,high,low,close,volume,amount
2025-01-02,2114.885,2123.546,2048.799,2068.369,591859180,6871300800.0
2025-01-03,2072.679,2094.597,2029.347,2037.124,573627330,6849856000.0
2025-01-06,2026.689,2048.421,2003.167,2031.524,475072790,5550756800.0
2025-01-07,2031.418,2060.306,2014.236,2060.306,447379600,5245434100.0
2025-01-08,2051.816,2091.124,2015.705,2078.051,534973150,6366558100.0
2025-01-09,2067.85,2086.914,2063.893,2077.589,424302780,5290128900.0
2025-01-10,2070.69,2093.56,2039.548,2039.846,402622360,5365662300.0
2025-01-13,2015.916,2043.419,2002.829,2013.695,346800330,4102934800.0
2025-01-14,2020.863,2135.193,2020.863,2135.193,556535820,6740742200.0
2025-01-15,2126.76,2146.331,2117.743,2125.232,436071730,5478348300.0
2025-01-16,2135.634,2172.362,2129.061,2148.539,568789840,7537132700.0
2025-01-17,2140.144,2162.567,2128.213,2146.182,425567450,7191899700.0
2025-01-20,2158.819,2178.454,2158.819,2172.678,461354850,7528375400.0
2025-01-21,2181.809,2183.792,2142.451,2165.845,391455920,6296748400.0
2025-01-22,2163.079,2163.079,2139.791,2144.079,321139740,4846370800.0
2025-01-23,2163.306,2169.624,2136.438,2136.728,418576840,5897511200.0
2025-01-24,2130.905,2147.031,2119.252,2142.952,351561920,4819994300.0
2025-01-27,2148.477,2158.33,2126.719,2126.719,348406000,4279949200.0
2025-02-05,2135.476,2138.516,2107.194,2121.998,461552630,5877405000.0
2025-02-06,2116.479,2168.168,2114.031,2168.168,524591240,7429357700.0
2025-02-07,2166.083,2213.684,2158.255,2207.712,739799860,9615592100.0
2025-02-10,2204.413,2222.173,2191.12,2222.173,587627010,7493019300.0
2025-02-11,2222.98,2245.184,2206.525,2233.247,485244960,6399618900.0
2025-02-12,2227.833,2249.921,2223.283,2249.883,548749060,8035891200.0
2025-02-13,2256.88,2263.78,2212.526,2212.526,499887100,7435270100.0
2025-02-14,2215.82,2235.596,2214.433,2231.349,594348260,8519868100.0
2025-02-17,2230.783,2253.047,2212.365,2253.047,627369860,9305637400.0
2025-02-18,2248.467,2270.479,2213.312,2221.963,550011340,8279175200.0
2025-02-19,2221.281,2306.914,2220.408,2306.914,694189270,10588464100.0
2025-02-20,2308.671,2345.179,2299.911,2341.105,586340610,9779277700.0
2025-02-21,2332.186,2351.712,2315.281,2350.399,646239480,10026391700.0
2025-02-24,2351.808,2405.797,2342.464,2404.338,851888640,12346709000.0
2025-02-25,2365.297,2435.587,2357.412,2415.935,924072960,12069607700.0
2025-02-26,2420.352,2494.967,2420.352,2486.79,1039266840,15062066000.0
2025-02-27,2485.889,2546.933,2485.889,2538.866,993227160,14361140000.0
2025-02-28,2534.34,2559.123,2487.132,2496.091,922113350,14182800000.0
2025-03-03,2487.383,2573.289,2483.221,2532.733,917819750,13679439000.0
2025-03-04,2509.3,2559.952,2507.627,2552.656,594282840,9731520000.0
2025-03-05,2567.315,2704.8,2567.315,2650.51,1257510580,18878076000.0
2025-03-06,2636.366,2639.64,2599.417,2632.508,1084683110,15393928000.0
2025-03-07,2608.79,2685.946,2604.728,2671.928,834303830,12774581200.0
2025-03-10,2693.449,2737.995,2672.827,2724.388,975047940,14821027000.0
2025-03-11,2673.125,2711.548,2651.698,2711.548,761737730,12377657500.0
2025-03-12,2709.89,2711.839,2672.621,2677.066,661550860,10413120400.0
2025-03-13,2661.903,2673.443,2598.685,2627.774,685207690,10385662500.0
2025-03-14,2624.19,2656.556,2603.248,2647.409,614513160,10800390100.0
2025-03-17,2647.286,2674.227,2638.835,2663.85,602465070,9457048200.0
2025-03-18,2666.514,2694.729,2655.78,2694.279,544480030,8903143200.0
2025-03-19,2671.127,2683.769,2638.57,2651.313,467616390,7765958600.0
2025-03-20,2657.237,2720.64,2647.314,2686.934,620386550,9907229600.0
2025-03-21,2691.218,2741.189,2667.344,2684.135,600975380,10440463600.0
2025-03-24,2689.508,2695.058,2617.387,2694.807,655543100,10688764000.0
2025-03-25,2669.644,2692.833,2639.013,2646.052,641012130,10284463900.0
2025-03-26,2622.079,2682.395,2622.079,2666.336,510376690,8519447500.0
2025-03-27,2657.358,2657.358,2596.151,2597.833,407306770,6741143900.0
2025-03-28,2595.733,2606.868,2542.625,2545.348,387511180,6308861200.0
2025-03-31,2535.433,2535.433,2458.152,2503.188,497564700,7686130800.0
2025-04-01,2510.222,2533.402,2507.35,2525.73,404741430,6477321800.0
2025-04-02,2518.52,2549.665,2514.389,2527.623,381963050,5672165600.0
2025-04-03,2489.919,2517.518,2464.737,2482.061,405819820,6638957500.0
2025-04-07,2311.717,2318.013,2144.727,2162.342,678216520,8394783300.0
2025-04-08,2155.443,2193.086,2114.051,2161.323,849487110,11280465100.0
2025-04-09,2113.388,2282.079,2044.007,2271.15,782475930,10848950600.0
2025-04-10,2314.155,2393.763,2314.155,2340.608,650585570,10071259600.0
2025-04-11,2325.119,2394.44,2325.119,2374.309,554397390,7925988600.0
2025-04-14,2399.876,2426.243,2391.667,2402.437,555496880,7817869800.0
