date,open,high,low,close,volume,amount
2025-01-02,204.56,205.919,196.932,198.599,629115620,14814089000.0
2025-01-03,198.778,199.746,190.154,190.172,654064450,17678628000.0
2025-01-06,189.195,191.42,185.778,188.376,477618870,12873822600.0
2025-01-07,188.663,193.354,188.6,193.354,505140440,13579418000.0
2025-01-08,191.737,195.043,188.185,193.559,458545100,14091584000.0
2025-01-09,192.64,197.759,192.419,196.311,658082410,16400636000.0
2025-01-10,195.275,198.175,191.532,191.532,738963220,19510747000.0
2025-01-13,187.968,193.024,187.219,191.686,494474800,14924561000.0
2025-01-14,191.776,201.3,191.776,201.215,581483570,18390532000.0
2025-01-15,200.131,200.557,197.416,198.016,537007730,17865206000.0
2025-01-16,198.409,201.338,196.247,197.813,439823820,16415087000.0
2025-01-17,196.145,198.809,194.757,196.652,376323840,14495694000.0
2025-01-20,197.866,200.322,197.493,199.912,369412980,13955710000.0
2025-01-21,200.519,201.643,198.485,200.794,502761120,16018196000.0
2025-01-22,199.406,199.882,197.583,198.301,459771790,16435890000.0
2025-01-23,200.111,202.831,197.573,197.573,558695320,20447519000.0
2025-01-24,196.143,197.981,195.257,197.371,441709100,15489595000.0
2025-01-27,197.421,197.88,191.064,191.064,419902030,15514490000.0
2025-02-05,193.035,194.84,191.322,193.911,381478340,14482405000.0
2025-02-06,192.823,200.487,192.441,200.487,463862620,16936783000.0
2025-02-07,200.225,205.766,200.008,203.098,572872300,21096039000.0
2025-02-10,202.451,205.925,201.56,205.925,416340870,16384657000.0
2025-02-11,205.862,206.796,204.235,205.868,407184570,17327035000.0
2025-02-12,205.093,206.457,203.663,206.457,333516820,14617830000.0
2025-02-13,205.827,205.827,201.181,201.181,339459360,14394583000.0
2025-02-14,200.595,204.867,200.595,204.507,343248540,13847860000.0
2025-02-17,204.935,207.894,204.893,207.892,408126400,16220752000.0
2025-02-18,206.776,208.014,201.715,202.304,404917910,15746124000.0
2025-02-19,201.727,208.012,201.727,208.012,332986830,14155597000.0
2025-02-20,207.78,207.955,205.351,207.495,306114510,13700680000.0
2025-02-21,207.29,210.483,206.245,209.913,357381100,15819158000.0
2025-02-24,209.273,210.208,206.926,208.71,315749100,14528034000.0
2025-02-25,206.168,211.883,205.778,210.281,387266290,15799412000.0
2025-02-26,210.53,212.928,210.03,212.928,364635500,16355308000.0
2025-02-27,212.965,213.998,209.236,212.459,398417080,17367489000.0
2025-02-28,211.224,211.26,205.618,205.878,461568580,18049197000.0
2025-03-03,206.055,209.916,204.617,208.97,377140410,16818567000.0
2025-03-04,206.404,210.935,206.112,210.91,341549430,16583926000.0
2025-03-05,209.553,210.265,206.976,209.378,289408730,13329404100.0
2025-03-06,210.069,215.992,210.069,214.479,349426870,16622148000.0
2025-03-07,213.062,215.179,211.122,212.236,344447990,16438720000.0
2025-03-10,212.204,213.061,210.483,211.965,291427010,12517719400.0
2025-03-11,209.065,213.944,208.788,213.944,373987390,16859251000.0
2025-03-12,214.421,216.864,213.81,215.548,357868480,17219635000.0
2025-03-13,214.53,215.085,209.306,211.032,349975220,16483350000.0
2025-03-14,210.371,212.987,208.916,212.54,306812860,13457659000.0
2025-03-17,212.848,215.109,212.041,215.07,273307280,13218453000.0
2025-03-18,215.094,217.3,215.094,217.263,351167560,16204021000.0
2025-03-19,216.305,216.305,213.745,214.455,331910190,16411354000.0
2025-03-20,213.813,215.906,213.103,213.187,313701450,15953367000.0
2025-03-21,211.552,211.672,206.491,206.671,345546330,15635520000.0
2025-03-24,206.438,206.901,200.312,204.336,337373640,15307804000.0
2025-03-25,204.095,205.243,202.48,202.983,328283260,14702106000.0
2025-03-26,201.951,205.29,201.809,204.72,328960610,13732411000.0
2025-03-27,203.634,207.188,202.5,204.586,582486200,18782691000.0
2025-03-28,203.762,204.436,199.935,199.935,438226240,14602352000.0
2025-03-31,198.928,202.022,197.338,201.19,503974840,15873507000.0
2025-04-01,200.252,203.827,200.252,203.775,422812330,14693174000.0
2025-04-02,202.646,205.366,202.646,204.373,411173530,15314465000.0
2025-04-03,202.152,206.059,202.152,204.966,533335950,17516023000.0
2025-04-07,192.06,193.265,173.182,174.904,628694360,20858244000.0
2025-04-08,175.328,181.777,173.496,177.303,622315000,19523357000.0
2025-04-09,172.689,181.307,164.866,179.657,809715930,22670042000.0
2025-04-10,182.595,187.395,182.487,182.517,721708230,20821415000.0
2025-04-11,179.526,184.853,179.526,182.353,573683170,16933697000.0
2025-04-14,184.654,186.741,184.654,185.615,585817590,14867924000.0
2025-04-15,185.637,186.435,184.067,186.14,521299190,16177009000.0
2025-04-16,184.926,188.159,184.476,186.731,555528830,18367822000.0
2025-04-17,184.687,188.543,184.687,186.528,494482730,17103496000.0
2025-04-18,185.417,185.932,182.462,184.529,425477160,15290236000.0
2025-04-21,184.035,186.418,183.32,186.416,397601380,13924523000.0
2025-04-22,185.578,187.01,184.686,185.992,501877180,14540787000.0
2025-04-23,186.924,189.13,186.797,188.35,463627990,15704208000.0
2025-04-24,187.215,187.215,181.96,182.858,436640710,17604910000.0
2025-04-25,183.019,185.536,182.897,184.402,392275250,15890738000.0
2025-04-28,183.74,183.917,181.768,181.768,350939670,13542636000.0
2025-04-29,180.731,182.675,180.361,181.507,301211430,12043759000.0
2025-04-30,181.35,183.749,181.35,182.767,291892440,12016178500.0
2025-05-06,184.059,188.517,184.059,188.516,364019860,13938968000.0
2025-05-07,189.99,191.36,187.934,189.975,408419380,16549320000.0
2025-05-08,189.08,192.292,189.0,192.225,339458090,13694669000.0
2025-05-09,191.856,191.856,187.751,188.213,301280210,12814655200.0
2025-05-12,189.44,192.638,189.44,192.638,330291730,13498014000.0
2025-05-13,194.252,194.342,191.228,191.734,399302450,13734055000.0
2025-05-14,191.57,192.921,191.151,191.931,516554650,14182503000.0
2025-05-15,191.844,192.118,190.49,191.282,434261720,13376160500.0
2025-05-16,190.369,193.536,190.131,192.483,383557270,14402627000.0
2025-05-19,192.279,192.368,189.978,191.872,359969500,14481072000.0
2025-05-20,191.418,193.297,190.96,193.241,341786010,13718095000.0
2025-05-21,192.536,192.536,190.067,191.874,361008650,14001809000.0
2025-05-22,190.907,192.874,190.332,190.514,357051460,14731356000.0
2025-05-23,190.108,193.424,189.864,190.148,374112660,15445602000.0
2025-05-26,190.121,191.532,189.556,191.234,283943270,11681881800.0
2025-05-27,190.981,191.019,188.365,189.826,271657950,10928022800.0
2025-05-28,189.763,191.155,187.514,187.965,279813640,10934689100.0
2025-05-29,187.593,190.667,187.593,190.662,333692690,13161804200.0
2025-05-30,190.017,190.017,187.485,187.626,344553140,12915947100.0
2025-06-03,186.907,189.584,186.907,188.666,297383780,11213414300.0
2025-06-04,188.588,190.204,188.588,189.702,279847360,11025765100.0
2025-06-05,189.453,190.022,188.302,189.897,338882920,15046180000.0
2025-06-06,189.68,190.179,188.625,189.05,283698990,11699454200.0
2025-06-09,189.4,192.55,189.4,192.55,311753930,13112135500.0
2025-06-10,192.257,192.413,188.286,190.512,353899310,14801008000.0
2025-06-11,190.335,192.902,190.335,192.281,361192770,17799648000.0
2025-06-12,191.711,195.102,190.974,194.856,414030350,19004275000.0
2025-06-13,193.447,195.047,191.306,191.432,473894180,20019320000.0
2025-06-16,190.356,193.209,190.356,192.759,307616310,13863583000.0
2025-06-17,192.481,193.135,190.617,191.46,304518940,13361448900.0
2025-06-18,190.64,192.445,190.091,192.445,313673580,14501641000.0
2025-06-19,191.782,192.244,187.055,187.382,311101170,13730509000.0
2025-06-20,187.078,190.014,186.445,186.577,300094220,13568135000.0
2025-06-23,185.108,188.627,185.108,188.627,284230680,12209426000.0
2025-06-24,188.914,193.095,188.914,192.923,355310750,15917048000.0
2025-06-25,192.488,196.231,191.058,195.178,343695990,15369788000.0
2025-06-26,194.04,195.547,192.971,192.991,335608360,14775688000.0
2025-06-27,193.696,196.414,193.696,195.589,367989710,15653135000.0
