date,open,high,low,close,volume,amount
2025-04-03,930.874,948.614,930.874,944.082,1611579800,17702834000.0
2025-04-07,902.17,906.229,833.4,841.535,2635871000,25323960000.0
2025-04-08,841.793,865.071,839.287,853.914,2128938300,21264691000.0
2025-04-09,841.168,864.801,804.253,860.91,2131907200,19677116000.0
2025-04-10,871.486,886.93,871.486,881.055,1859096200,18851678000.0
2025-04-11,874.437,887.632,873.642,880.857,1331708570,14062780000.0
2025-04-14,887.855,904.231,887.855,899.137,1491134300,15185999000.0
2025-04-15,900.593,909.099,894.17,904.922,1380263900,15443181000.0
2025-04-16,902.454,902.454,881.061,894.524,1426330900,14223833000.0
2025-04-17,891.078,903.921,890.063,898.965,1250536120,12476272300.0
2025-04-18,901.332,908.721,891.157,895.32,1223923780,11977816200.0
2025-04-21,891.626,902.913,887.023,902.913,1348951000,13139547700.0
2025-04-22,901.077,915.546,900.998,913.993,1629148500,16773161000.0
2025-04-23,914.639,917.594,907.375,908.364,1625841800,17214567000.0
2025-04-24,908.03,917.755,905.908,910.602,1634762400,17182428000.0
2025-04-25,913.585,916.537,905.531,906.202,1785595800,18601937000.0
2025-04-28,902.04,902.04,890.445,892.309,1645232900,16565238000.0
2025-04-29,891.345,902.163,889.733,900.517,1506550600,16665849000.0
2025-04-30,902.501,910.781,902.501,905.898,1625612800,17073291000.0
2025-05-06,909.834,921.172,909.104,921.172,1657105100,18055416000.0
2025-05-07,927.826,930.495,917.909,923.907,1752481300,18355704000.0
2025-05-08,921.016,928.234,919.752,927.441,1553488700,15451387000.0
2025-05-09,927.088,929.515,922.963,924.383,1434994200,15534401000.0
2025-05-12,927.112,928.013,918.95,925.709,1414856300,15800217000.0
2025-05-13,930.549,932.811,926.0,930.146,1565812500,16437149000.0
2025-05-14,928.568,931.891,921.844,928.765,1464401700,15521644000.0
2025-05-15,928.264,934.256,923.939,930.933,1681236400,17210953000.0
2025-05-16,932.524,942.692,929.03,941.555,1939835500,20915415000.0
2025-05-19,942.192,942.406,935.072,942.302,1786064700,19030553000.0
2025-05-20,943.663,960.713,943.663,958.612,2211547000,24520759000.0
2025-05-21,957.813,968.052,957.813,961.898,1915211200,22962483000.0
2025-05-22,958.978,961.681,949.552,950.468,1927253000,21772938000.0
2025-05-23,951.007,967.276,951.007,953.632,2403572900,26394106000.0
2025-05-26,951.068,951.56,937.766,946.005,2044909600,22645386000.0
2025-05-27,945.942,958.455,943.787,958.026,2142938100,22445676000.0
2025-05-28,956.722,957.13,948.101,953.112,1897107300,20185249000.0
2025-05-29,950.282,967.097,947.518,966.887,2117314900,22586366000.0
2025-05-30,965.796,981.194,965.796,970.864,2275792800,26175911000.0
2025-06-03,965.688,994.886,965.688,994.565,2742265900,31165624000.0
2025-06-04,996.579,1002.576,991.944,1002.576,2900322800,33406578000.0
2025-06-05,1002.111,1002.942,983.139,989.453,2705639100,30400114000.0
2025-06-06,988.036,994.366,982.842,987.215,2120839200,23661564000.0
2025-06-09,988.576,1011.374,988.576,1006.59,2940155800,31016967000.0
2025-06-10,1007.981,1018.284,998.391,1008.814,3213449500,34486581000.0
2025-06-11,1011.328,1016.788,1007.444,1009.65,2643307100,32138938000.0
2025-06-12,1008.78,1013.728,1005.882,1013.302,2455273100,30609535000.0
2025-06-13,1011.39,1014.692,986.791,987.996,2781293800,34208790000.0
2025-06-16,985.116,995.496,981.508,987.369,2034076200,26034681000.0
2025-06-17,993.311,1002.589,978.279,981.076,2486026000,29362790000.0
2025-06-18,975.383,975.602,962.459,964.759,1958549500,21221367000.0
2025-06-19,963.708,965.33,942.655,945.083,1851506600,19897244000.0
2025-06-20,945.206,949.425,941.655,943.858,1449887600,16829705000.0
2025-06-23,939.152,954.621,935.987,953.231,1679766700,21133871000.0
2025-06-24,955.082,968.382,955.082,968.382,1796559300,22111196000.0
2025-06-25,969.82,970.766,959.576,969.708,1846891500,21998640000.0
2025-06-26,968.669,968.669,959.99,964.064,1665761900,19427106000.0
2025-06-27,964.763,976.463,964.763,971.456,1703679700,20441047000.0
2025-06-30,972.189,979.077,967.565,979.011,1691563400,20858010000.0
2025-07-01,979.622,994.905,979.33,994.905,2450957500,29375987000.0
2025-07-02,993.269,996.387,984.249,988.379,2062827200,25102029000.0
2025-07-03,989.149,1003.434,987.779,1002.839,2347250100,28236023000.0
2025-07-04,1004.402,1007.526,999.623,1001.541,2426291100,29519230000.0
2025-07-07,1000.065,1009.497,996.392,998.502,2022847200,25587834000.0
2025-07-08,998.469,1012.07,997.583,1004.313,2064882800,25614230000.0
2025-07-09,1003.089,1008.146,999.209,1003.622,2794911200,25560195000.0
2025-07-10,1003.41,1015.156,1000.35,1013.297,2882433000,27724374000.0
2025-07-11,1013.198,1020.51,1009.255,1018.053,2755741300,30711991000.0
2025-07-14,1017.769,1028.358,1017.769,1027.895,2557834100,26831271000.0
2025-07-15,1027.031,1027.031,1006.339,1015.272,2827064600,30647639000.0
2025-07-16,1015.96,1035.539,1015.96,1035.539,3000632400,33921219000.0
2025-07-17,1036.656,1050.148,1036.656,1050.148,3031904500,35369001000.0
2025-07-18,1052.935,1053.304,1039.152,1052.264,2733512900,31958050000.0
2025-07-21,1050.219,1063.789,1045.088,1062.544,3194697900,36622342000.0
2025-07-22,1059.536,1064.175,1054.204,1058.253,3123363600,38036444000.0
2025-07-23,1053.892,1065.169,1049.6,1055.705,3213498800,37841438000.0
2025-07-24,1057.399,1071.478,1057.399,1071.154,3729652100,39587233000.0
2025-07-25,1072.712,1083.844,1068.515,1069.624,3554406300,39946466000.0
2025-07-28,1071.33,1080.86,1071.33,1077.254,3257893900,36674694000.0
2025-07-29,1081.558,1090.206,1068.5,1090.206,3922642700,46303113000.0
2025-07-30,1085.292,1107.058,1084.398,1096.046,4654966800,56098521000.0
2025-07-31,1095.129,1108.738,1090.908,1094.01,4336416300,51281137000.0
2025-08-01,1093.474,1122.173,1093.019,1110.502,4422129400,51828501000.0
2025-08-04,1107.897,1115.749,1088.616,1115.749,3970449700,48551515000.0
2025-08-05,1115.259,1121.144,1103.363,1112.241,3400160400,41712348000.0
2025-08-06,1112.181,1115.087,1092.848,1096.905,3641246100,40636930000.0
2025-08-07,1094.509,1104.249,1087.654,1091.848,2989584400,35648279000.0
2025-08-08,1090.775,1099.377,1082.254,1095.622,2772498400,34452379000.0
2025-08-11,1094.549,1112.737,1094.549,1111.12,2911210300,36611074000.0
2025-08-12,1111.187,1119.087,1101.063,1105.405,2960306600,35920356000.0
2025-08-13,1105.788,1108.99,1093.877,1106.221,2996143600,37678638000.0
2025-08-14,1106.925,1107.726,1089.141,1089.141,3067059900,37649737000.0
2025-08-15,1089.063,1100.954,1086.985,1100.921,2604811700,32838290000.0
2025-08-18,1104.991,1117.077,1104.991,1115.728,3423379000,45183076000.0
2025-08-19,1118.049,1142.707,1118.049,1133.088,4023633700,50829520000.0
2025-08-20,1130.924,1136.351,1116.23,1129.278,3318493600,43335591000.0
2025-08-21,1130.915,1134.303,1122.806,1127.355,3025663700,39594122000.0
2025-08-22,1129.295,1129.295,1113.704,1124.696,3189158900,38457411000.0
2025-08-25,1125.505,1136.906,1122.715,1133.198,3843030500,46730599000.0
2025-08-26,1131.048,1137.369,1127.869,1131.471,3118212300,38410577000.0
2025-08-27,1133.911,1135.973,1097.095,1097.095,3902834900,45119573000.0
2025-08-28,1096.681,1105.082,1064.759,1093.577,3556066100,44661196000.0
2025-08-29,1092.854,1101.262,1091.46,1093.696,2551804400,35067857000.0
2025-09-01,1095.202,1110.88,1090.033,1110.703,3319936900,41898406000.0
2025-09-02,1111.63,1111.63,1089.227,1098.189,3061387900,39950655000.0
2025-09-03,1100.161,1105.726,1080.285,1083.191,2418265800,31524131000.0
2025-09-04,1085.611,1094.591,1067.232,1080.032,2692338000,34987374000.0
2025-09-05,1080.686,1091.391,1064.57,1091.391,2322927700,29656258000.0
2025-09-08,1090.982,1106.184,1090.982,1104.801,2417773900,33653244000.0
2025-09-09,1104.864,1108.392,1088.289,1093.348,2170285200,31097005000.0
2025-09-10,1092.28,1098.28,1085.642,1090.574,1758202300,24645486000.0
2025-09-11,1085.803,1097.206,1069.87,1097.206,2347058600,31165842000.0
2025-09-12,1098.367,1102.666,1090.449,1096.083,2548219300,31616206000.0
2025-09-15,1095.674,1097.56,1089.844,1096.252,2806278300,30083084000.0
2025-09-16,1096.332,1101.944,1089.179,1101.944,2531781400,29020562000.0
2025-09-17,1101.781,1103.883,1094.887,1097.708,2163542300,26538291000.0
2025-09-18,1097.603,1107.634,1079.921,1087.967,3338450000,39205834000.0
2025-09-19,1086.23,1088.596,1069.919,1074.317,2545259400,29442366000.0
2025-09-22,1076.657,1084.511,1061.159,1066.855,1961624500,24970451000.0
2025-09-23,1065.411,1065.411,1033.843,1049.286,2433066600,28343082000.0
2025-09-24,1046.68,1062.631,1045.167,1062.631,1915884000,23738747000.0
2025-09-25,1062.347,1068.41,1053.068,1055.726,1853535200,24230202000.0
2025-09-26,1052.147,1052.2,1039.761,1045.484,1753646900,22326552000.0
2025-09-29,1045.664,1047.992,1030.495,1046.01,1776828400,21802251000.0
2025-09-30,1047.371,1052.101,1045.04,1049.943,1709709400,20970228000.0
2025-10-09,1052.167,1053.496,1042.697,1053.47,2068047100,25192384000.0
2025-10-10,1052.941,1066.995,1050.711,1062.747,2185603500,26968318000.0
2025-10-13,1036.239,1056.327,1032.102,1055.094,1990745100,25594861000.0
2025-10-14,1058.413,1064.865,1049.593,1052.82,2009751300,26562476000.0
2025-10-15,1054.005,1072.488,1049.929,1072.347,2075587000,29954953000.0
2025-10-16,1071.298,1082.761,1068.634,1074.51,2432637200,31123093000.0
2025-10-17,1074.337,1080.484,1062.208,1063.33,2570035600,30600333000.0
2025-10-20,1069.566,1073.031,1064.686,1072.315,2163232300,28090919000.0
2025-10-21,1071.674,1082.683,1068.864,1082.576,2323302800,27613590000.0
2025-10-22,1080.611,1092.299,1080.42,1087.402,2586645300,29898828000.0
2025-10-23,1085.489,1091.438,1074.262,1085.04,2407974700,27864526000.0
2025-10-24,1084.832,1088.824,1079.814,1080.401,2090336800,26226122000.0
2025-10-27,1082.836,1085.558,1078.038,1082.861,2205984500,29073015000.0
2025-10-28,1081.921,1086.582,1077.181,1080.944,2074109900,27666656000.0
2025-10-29,1080.865,1081.347,1070.971,1081.323,2138929200,28948786000.0
2025-10-30,1079.362,1081.427,1070.815,1070.815,2373511900,30988704000.0
2025-10-31,1072.346,1095.145,1072.346,1093.773,3002677200,40150268000.0
2025-11-03,1097.367,1103.33,1090.839,1102.936,2869434800,38025167000.0
2025-11-04,1101.203,1101.203,1088.034,1094.633,2319594100,30293038000.0
2025-11-05,1087.753,1101.473,1087.512,1099.465,2334751700,28703322000.0
2025-11-06,1098.825,1098.825,1090.982,1094.635,2116124700,26390366000.0
2025-11-07,1093.842,1102.448,1092.833,1101.399,2507672900,32972776000.0
2025-11-10,1103.228,1119.33,1103.228,1116.188,2890167600,37729279000.0
2025-11-11,1115.581,1126.512,1110.397,1125.898,3040982900,35629354000.0
2025-11-12,1127.953,1140.581,1127.953,1135.718,3248605300,41264190000.0
2025-11-13,1134.851,1143.88,1125.342,1143.147,3149969900,39786006000.0
2025-11-14,1140.504,1166.821,1140.436,1157.293,3743453500,45635739000.0
