date,code,open,high,low,close,volume,amount
2025-01-02,885819.0,1611.675,1635.493,1567.195,1582.258,1436872500.0,20632277000.0
2025-01-03,885819.0,1590.192,1594.661,1511.875,1514.26,1433087500.0,19641729000.0
2025-01-06,885819.0,1504.458,1526.18,1468.698,1500.339,1125569340.0,15504473000.0
2025-01-07,885819.0,1500.403,1545.058,1499.82,1545.058,1139120750.0,15885851000.0
2025-01-08,885819.0,1537.842,1557.624,1492.586,1543.833,1297752790.0,18392106000.0
2025-01-09,885819.0,1537.986,1566.227,1537.986,1549.443,1058684860.0,17851852000.0
2025-01-10,885819.0,1549.167,1565.881,1499.495,1499.495,1116464820.0,17214553000.0
2025-01-13,885819.0,1481.015,1507.841,1453.882,1494.095,976417480.0,14733500000.0
2025-01-14,885819.0,1504.747,1582.442,1504.747,1582.442,1476290200.0,24590240000.0
2025-01-15,885819.0,1582.939,1594.033,1572.538,1578.006,1252288000.0,22138879000.0
2025-01-16,885819.0,1587.112,1611.357,1571.837,1587.089,1267789470.0,22178775000.0
2025-01-17,885819.0,1584.596,1610.118,1577.802,1599.091,1209512980.0,18985715000.0
2025-01-20,885819.0,1610.598,1636.031,1610.347,1626.967,1331099160.0,21249250000.0
2025-01-21,885819.0,1642.406,1647.674,1619.28,1643.334,1303765970.0,23495420000.0
2025-01-22,885819.0,1636.237,1638.193,1620.504,1626.501,1440724100.0,23023283000.0
2025-01-23,885819.0,1644.365,1670.371,1618.026,1618.026,1675032800.0,27783058000.0
2025-01-24,885819.0,1610.056,1646.838,1610.056,1644.491,1474069400.0,24013622000.0
2025-01-27,885819.0,1654.667,1659.9,1619.75,1619.75,1275638680.0,21755942000.0
2025-02-05,885819.0,1644.126,1660.248,1636.617,1650.134,1534628600.0,30460348000.0
2025-02-06,885819.0,1648.39,1696.292,1639.925,1696.234,1675883500.0,31694857000.0
2025-02-07,885819.0,1700.195,1746.509,1700.195,1726.869,2242097800.0,42495556000.0
2025-02-10,885819.0,1738.772,1769.689,1734.312,1769.689,2010193800.0,36788018000.0
2025-02-11,885819.0,1768.048,1782.073,1745.363,1770.506,1908854600.0,35098084000.0
2025-02-12,885819.0,1772.31,1805.152,1772.31,1805.135,1859726200.0,38603811000.0
2025-02-13,885819.0,1811.812,1812.305,1771.328,1779.038,2020984300.0,43760410000.0
2025-02-14,885819.0,1771.52,1799.023,1764.464,1791.333,1949730200.0,38524321000.0
2025-02-17,885819.0,1807.285,1821.951,1796.642,1816.319,2069995500.0,37906708000.0
2025-02-18,885819.0,1819.242,1834.035,1773.381,1776.867,1989049100.0,34622638000.0
2025-02-19,885819.0,1775.835,1825.114,1775.487,1825.114,2052577000.0,36097566000.0
2025-02-20,885819.0,1821.832,1838.818,1815.308,1835.954,1848827900.0,31749349000.0
2025-02-21,885819.0,1847.655,1889.02,1842.285,1888.652,2400896200.0,41585963000.0
2025-02-24,885819.0,1889.198,1892.527,1859.118,1877.094,2129388000.0,42331591000.0
2025-02-25,885819.0,1845.592,1899.715,1840.956,1879.001,2327613100.0,42776803000.0
2025-02-26,885819.0,1883.072,1908.919,1874.978,1904.065,2261789600.0,38571395000.0
2025-02-27,885819.0,1901.877,1910.911,1854.695,1890.41,2134175900.0,34870848000.0
2025-02-28,885819.0,1882.491,1884.953,1813.16,1816.854,2217137600.0,34357851000.0
2025-03-03,885819.0,1827.696,1857.15,1804.808,1820.352,1788619400.0,27848577000.0
2025-03-04,885819.0,1801.636,1864.238,1801.636,1863.743,1717880400.0,27186201000.0
2025-03-05,885819.0,1874.558,1888.745,1852.34,1888.524,1942654600.0,32425569000.0
2025-03-06,885819.0,1900.057,1934.41,1899.46,1921.077,2168781500.0,37821195000.0
2025-03-07,885819.0,1911.404,1921.933,1883.012,1895.811,1935906200.0,32188721000.0
2025-03-10,885819.0,1891.931,1897.989,1873.616,1892.506,1445518800.0,25289482000.0
2025-03-11,885819.0,1867.185,1900.732,1865.612,1900.732,1428160000.0,23792368000.0
2025-03-12,885819.0,1909.851,1953.768,1908.985,1937.021,2157281300.0,33839350000.0
2025-03-13,885819.0,1933.615,1936.606,1884.214,1907.177,1960869900.0,33899404000.0
2025-03-14,885819.0,1900.096,1929.595,1880.037,1926.806,1784299700.0,32524664000.0
2025-03-17,885819.0,1931.486,1942.913,1922.43,1931.585,1866646900.0,33919248000.0
2025-03-18,885819.0,1939.808,1955.9,1938.469,1955.669,1980401000.0,36579529000.0
2025-03-19,885819.0,1953.573,1961.122,1934.848,1943.418,1817587800.0,31810712000.0
2025-03-20,885819.0,1937.151,1955.282,1927.585,1931.068,1743648700.0,31699825000.0
2025-03-21,885819.0,1920.359,1921.742,1872.868,1877.943,1749789000.0,29906739000.0
2025-03-24,885819.0,1873.722,1876.432,1788.537,1832.177,1694315200.0,27115625000.0
2025-03-25,885819.0,1831.103,1841.846,1809.131,1818.745,1330398120.0,22021436000.0
2025-03-26,885819.0,1816.139,1844.779,1813.414,1834.905,1216773400.0,17239403000.0
2025-03-27,885819.0,1831.765,1840.134,1800.544,1814.41,1295667420.0,18765897000.0
2025-03-28,885819.0,1815.669,1831.027,1795.571,1795.578,1117903470.0,17858167000.0
2025-03-31,885819.0,1777.722,1790.124,1750.378,1783.243,1184600950.0,20828744000.0
2025-04-01,885819.0,1786.032,1807.631,1786.032,1789.89,1054357700.0,17803312000.0
2025-04-02,885819.0,1786.381,1811.702,1786.177,1793.484,870795670.0,13921223000.0
2025-04-03,885819.0,1776.466,1802.28,1757.282,1772.623,941125780.0,16504828000.0
